scientificName,n_records,latitude_median,elevation_median,lat_q05,lat_q95,lat_range_q05_q95,elev_q05,elev_q95,elev_range_q05_q95,bio4_detrended_median,bio4_detrended_q05,bio4_detrended_q95,bio4_detrended_range_q05_q95,median_doy_clean,global_lat_alpha,global_lat_beta,expected_doy_at_median_lat,lat_standardized_doy_index,start_lat,start_doy,lat_beta,elev_beta,hopkins_lat_slope,hopkins_elev_slope,lat_r2,lat_elev_r2,hopkins_lat_elev_rmse
Acer campestre,163,49.9156507586,147.052526969405,43.54305834658,54.93664836593,11.39359001935,5.295290847611014,572.6994455387359,567.4041546911249,-498.2559926326571,-748.9468944028557,-268.68050502970686,480.26638937314885,106,53.24371658323815,1.1194930128859681,109.12393884114702,-3.123938841147023,49.978582323750004,105.87091248215013,0.5562884881868617,0.020288401792871686,4,0.03278688524590164,0.02096009368121031,0.08459173432110875,15.144879147680717
Acer circinatum,393,47.9235167365,99.18042583390593,44.2046503333,49.34503615998,5.140385826679996,7.795539218127182,868.7421666374738,860.9466274193467,-594.0680526960404,-699.7308129003412,-485.2519990577565,214.4788138425847,116,53.24371658323815,1.1194930128859681,106.89375872267365,9.106241277326347,47.87349107155,112.73070494773124,-1.1072932220752432,0.021372297980017687,4,0.03278688524590164,0.03603510654465255,0.25415953683992387,11.059935496687796
Acer glabrum,330,46.8082523889,1325.286982441894,36.179555700015,50.963599319405006,14.784043619390005,33.23422226384397,2543.2073436325163,2509.9731213686723,-335.8949788671031,-651.7226425980341,-34.85524998296347,616.8673926150707,127,53.24371658323815,1.1194930128859681,105.64522807801463,21.354771921985375,46.8082523889,131.95379540829686,-1.5937755133579232,0.02414646132701518,4,0.03278688524590164,0.17178865679402788,0.42811175092115866,17.01021251464807
Acer macrophyllum,1908,47.308283180100005,80.30783212770726,37.324271249990005,49.34658924999,12.022317999999991,7.540926619977869,799.8428706855566,792.3019440655787,-586.9771952190803,-683.3353793894985,-389.497928774731,293.8374506147675,98,53.24371658323815,1.1194930128859681,106.20500905499088,-8.205009054990882,47.30909841545,99.18528109292511,1.2699493747204347,0.028535034497717802,4,0.03278688524590164,0.12304198963728695,0.27955196678696836,14.344294987414553
Acer negundo,7359,45.1335916667,167.23974639681128,37.352192425999995,56.81279130003,19.460598874030005,16.194550708672814,910.3877484447916,894.1931977361187,-65.53684087536087,-439.2404504388523,103.57682079812713,542.8172712369794,114,53.24371658323815,1.1194930128859681,103.77045710055715,10.229542899442848,45.1287713889,106.56665428504466,1.0392612172656883,0.008792854422496565,4,0.03278688524590164,0.20330523148963173,0.24064753174784137,23.95331167353218
Acer pensylvanicum,807,43.5221615457,276.09963453522374,39.0715424592,46.50520260181,7.433660142609995,27.91162201633705,679.1598689268149,651.2482469104777,-122.33763606218152,-202.4908213840922,54.172999857723994,256.6638212418162,120,53.24371658323815,1.1194930128859681,101.96647233934367,18.033527660656333,43.517791491699995,120.89053692896393,2.1516756811936353,0.01759849254924837,4,0.03278688524590164,0.1656794255555995,0.23876272568508589,10.34569565463169
Acer platanoides,3559,50.1202430556,124.23348467161752,40.605875378,58.81210095607,18.206225578069997,6.901184738248905,372.69525537825075,365.79407064000185,-261.42927515617873,-706.9247624224922,21.275200820161835,728.199963242654,115,53.24371658323815,1.1194930128859681,109.35297848812881,5.647021511871188,50.1202456355,112.81269841257061,0.4676212870212482,-0.0033898006355967056,4,0.03278688524590164,0.05025032299264646,0.051782027831618636,25.19656201256947
Acer pseudoplatanus,877,51.6047353065,64.25190968154317,42.99431175358001,55.94516831974,12.950856566159992,3.83674662512925,743.8862581295946,740.0495115044654,-656.9183767360676,-828.002490025488,-324.80390995006456,503.1985800754234,109,53.24371658323815,1.1194930128859681,111.01485719069473,-2.014857190694727,51.6047353065,102.36576785941324,0.3016664011116675,0.019912904544069632,4,0.03278688524590164,0.002657334059670925,0.04999656143565363,23.367428008672054
Acer rubrum,1185,42.226095,82.69544528559439,32.530076924700005,46.3016207906,13.771543865899993,3.138078865811682,401.1467893567939,398.0087104909822,-62.39016525955917,-191.0473571663473,63.45136107464186,254.49871824098915,117,53.24371658323815,1.1194930128859681,100.51553489719726,16.484465102802744,42.180799935,115.89086554475031,4.072290086313652,0.008029057117682105,4,0.03278688524590164,0.7111703967065452,0.7151836137920508,11.20556131131389
Acer saccharinum,293,42.4166255766,107.8221933670402,37.45703492624,46.02979131834,8.572756392100004,5.271532778622987,396.70540749705447,391.43387471843147,-27.1469753683396,-215.4797513026235,106.86463523780678,322.34438654043026,117,53.24371658323815,1.1194930128859681,100.72883254644209,16.271167453557908,42.4010174582,112.84824801963097,2.432814525707019,0.004568881118868698,4,0.03278688524590164,0.3231980856115059,0.3272922654584482,12.828269272724775
